program,mode,threads,time,result
omp5,upper_static,1,0.13895,654499
omp5,upper_dynamic,1,0.130822,654499
omp5,banded_static,1,0.154677,21953
omp5,banded_dynamic,1,0.142852,21953
omp5,upper_static,2,0.073717,654499
omp5,upper_dynamic,2,0.0665404,654499
omp5,banded_static,2,0.0689414,21953
omp5,banded_dynamic,2,0.0668646,21953
omp5,upper_static,3,0.049872,654499
omp5,upper_dynamic,3,0.0441894,654499
omp5,banded_static,3,0.0477212,21953
omp5,banded_dynamic,3,0.047338,21953
omp5,upper_static,4,0.0361086,654499
omp5,upper_dynamic,4,0.0348507,654499
omp5,banded_static,4,0.0400839,21953
omp5,banded_dynamic,4,0.0345562,21953
omp5,upper_static,6,0.0263131,654499
omp5,upper_dynamic,6,0.0246665,654499
omp5,banded_static,6,0.0342721,21953
omp5,banded_dynamic,6,0.026565,21953
omp5,upper_static,8,0.0371155,654499
omp5,upper_dynamic,8,0.0258238,654499
omp5,banded_static,8,0.037266,21953
omp5,banded_dynamic,8,0.0264425,21953
omp5,upper_static,10,0.0315173,654499
omp5,upper_dynamic,10,0.0272696,654499
omp5,banded_static,10,0.0324029,21953
omp5,banded_dynamic,10,0.0257146,21953
omp5,upper_static,12,0.0297949,654499
omp5,upper_dynamic,12,0.0247499,654499
omp5,banded_static,12,0.032362,21953
omp5,banded_dynamic,12,0.0259928,21953
omp5,upper_static,14,0.0323344,654499
omp5,upper_dynamic,14,0.0255145,654499
omp5,banded_static,14,0.0337321,21953
omp5,banded_dynamic,14,0.0246546,21953
omp5,upper_static,16,0.0283094,654499
omp5,upper_dynamic,16,0.0249737,654499
omp5,banded_static,16,0.0286264,21953
omp5,banded_dynamic,16,0.0257695,21953
