taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_4,2000 2000 12345,1,0.0012876,3765,1
OpenMP_4,2000 2000 12345,1,0.0014734,3765,2
OpenMP_4,2000 2000 12345,1,0.00134804,3765,3
OpenMP_4,2000 2000 12345,6,0.00100983,3765,1
OpenMP_4,2000 2000 12345,6,0.00121068,3765,2
OpenMP_4,2000 2000 12345,6,0.00147883,3765,3
OpenMP_4,2000 2000 12345,12,0.00819992,3765,1
OpenMP_4,2000 2000 12345,12,0.00130975,3765,2
OpenMP_4,2000 2000 12345,12,0.00119612,3765,3
OpenMP_4,2000 2000 12345,24,0.00182004,3765,1
OpenMP_4,2000 2000 12345,24,0.00166877,3765,2
OpenMP_4,2000 2000 12345,24,0.0016527,3765,3
OpenMP_4,4000 2000 12345,1,0.00246079,3894,1
OpenMP_4,4000 2000 12345,1,0.00230384,3894,2
OpenMP_4,4000 2000 12345,1,0.00259694,3894,3
OpenMP_4,4000 2000 12345,6,0.00154036,3894,1
OpenMP_4,4000 2000 12345,6,0.0017619,3894,2
OpenMP_4,4000 2000 12345,6,0.00170278,3894,3
OpenMP_4,4000 2000 12345,12,0.00474072,3894,1
OpenMP_4,4000 2000 12345,12,0.00175055,3894,2
OpenMP_4,4000 2000 12345,12,0.00207241,3894,3
OpenMP_4,4000 2000 12345,24,0.00239968,3894,1
OpenMP_4,4000 2000 12345,24,0.00226801,3894,2
OpenMP_4,4000 2000 12345,24,0.00212147,3894,3
